,name,real_rent,age,route_1,route_2,route_3,room_number,DK,K,L,S,convenience,new,old,far,near,very far,very near,世田谷区,中央区,中野区,北区,千代田区,台東区,品川区,墨田区,大田区,文京区,新宿区,板橋区,江戸川区,江東区,渋谷区,港区,目黒区,練馬区,荒川区,葛飾区,豊島区,足立区
93,西武新宿線 鷺ノ宮駅 2階建 築31年,103000.0,31.0,7.0,15.0,,2.0,1.0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,ウェルバ－ド高島平,94000.0,7.0,10.0,9.0,25.0,1.0,1.0,0.0,1.0,0.0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
95,カサ・プリマベーラ,59000.0,23.0,10.0,14.0,17.0,1.0,0.0,1.0,0.0,0.0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
96,LaLa柴又,46000.0,3.0,4.0,8.0,13.0,1.0,0.0,0.0,0.0,0.0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
97,LaLa柴又,51000.0,3.0,4.0,8.0,13.0,1.0,0.0,0.0,0.0,0.0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
98,NKスカイハイツ五反田,113000.0,26.0,7.0,4.0,15.0,2.0,1.0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,ベルフォーレ,109000.0,4.0,10.0,12.0,14.0,1.0,1.0,0.0,1.0,0.0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100,グランバニエＡ,67000.0,4.0,13.0,20.0,23.0,1.0,0.0,1.0,0.0,0.0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
101,グランバニエＡ,67000.0,4.0,13.0,20.0,23.0,1.0,0.0,1.0,0.0,0.0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
102,エスポワール船堀,83000.0,11.0,8.0,24.0,28.0,1.0,0.0,1.0,0.0,0.0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
103,サンメゾン,85000.0,29.0,9.0,14.0,,1.0,1.0,0.0,1.0,0.0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,iSメゾン赤羽,69800.0,7.0,5.0,1.0,14.0,1.0,0.0,1.0,0.0,0.0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,iSメゾン赤羽,69800.0,7.0,5.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,iSメゾン赤羽,114800.0,7.0,5.0,1.0,14.0,1.0,1.0,0.0,1.0,0.0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
